Contribution,Annotation 1,Annotation 2
"We introduce a novel corpus on aspect-based
argument similarity and demonstrate how contextualized word embeddings help to improve clustering similar arguments in a supervised fashion with
little training data.",Dataset Creation,Dataset Creation
"We introduce the simplified topic model STM
to infer the latent topic-level representations
and employ such topic-level relevance to recognize Chinese implicit discourse relations.",Model Proposal,Model Proposal
we design a computational methodology to quantitatively track systematic changes along the two dimensions of within- and between-counselor linguistic diversification.,New Algorithm/ Method,New Algorithm/ Method
We present algorithms for finding both consistent and contrastive expansions and demonstrate their effectiveness empirically.,Algorithm/Method Optimization,Algorithm/Method Optimization
"We propose a multimodal method that is inspired by the way humans process emotions in a conversation. That is, lexical and acoustic information is simultaneously perceived at every word step.",New Algorithm/ Method,New Algorithm/ Method
"We propose a two-step framework to address the ECPE task, which first performs individual emotion extraction and cause extraction and then conduct emotion-cause pairing and filtering.",New Algorithm/ Method,New Algorithm/ Method
We propose an end-to-end method to incorporate MMR into pointer-generator networks.,New Algorithm/ Method,New Algorithm/ Method
We propose a method for text categorization that complements implicit representation by leveraging a predominant sense of a word.,New Algorithm/ Method,New Algorithm/ Method
we propose a new multi-task learning approach for rumor detection and stance classification tasks.,New Algorithm/ Method,New Algorithm/ Method
It systematically studies word alignment from NMT and proposes two approaches to induce word alignment which are agnostic to specific NMT models,Model Proposal,Model Proposal
"We present MILk attention, which allows us to build the first simultaneous MT system to learn an adaptive schedule jointly with an NMT model that attends over all source tokens read thus far",New Algorithm/ Method,New Algorithm/ Method
"We propose a novel attention regularization method for reducing the noise in DS. Our method forces the model to clearly explain the relation patterns in terms of attention, and selects trustable instances if they can be explained by the model.",New Algorithm/ Method,New Algorithm/ Method
We propose novel algorithms to generate more natural adversarial examples that both preserve the semantics and mislead the classifiers.,New Algorithm/ Method,New Algorithm/ Method
"we present our method for learning representations from imperfect human language across the language, visual, and acoustic modalities.",New Algorithm/ Method,New Algorithm/ Method
we propose a near lossless method for encoding long sequences of texts as well as all of their sub-sequences into feature rich representations.,New Algorithm/ Method,New Algorithm/ Method
"We propose a debiasing method that preserves the genderrelated information in feminine and masculine
words",New Algorithm/ Method,New Algorithm/ Method
We propose a simple method for TM-NMT integration that is based on augmenting the source data with retrieved fuzzy TM targets by means of concatenation.,New Algorithm/ Method,New Algorithm/ Method
we propose an approach based on dynamic linear combination of layers (DLCL) to memorizing the features extracted from all preceding layers.,Theory Proposal,Theory Proposal
